R01005,04,02,
R0201,06,03,
R0402,10,05,
R0603,155,085,
R0805,20,12,
R0808,00,00,
R1020,50,25,
R1206,32,16,
R1210,32,25,
R1812,32,46,
R2010,50,25,
R2512,63,32,
L2835,28,35,
L3014,30,14,
L3528,35,28,
L5050,50,50,
L5630,56,30,
L5730,57,30,
L5,50,50,
C5,05,05,
C8,08,08,
C10,10,10,
C16,16,16,
C18,18,18,
C20,20,20,
C22,22,22,
C25,25,25,
